"","X1","#","Name","Type 1","Type 2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation","Legendary","url","desc.1","desc.2","list.best.stats","best.hp","best.atk","best.def","best.sp.atk","best.sp.def","best.spd"
"1",1,1,"Bulbasaur","Grass","Poison",318,45,49,49,65,65,45,1,"False","https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pokémon)","Bulbasaur (Japanese: フシギダネ Fushigidane) is a dual-type Grass/Poison Pokémon introduced in Generation I.
","It evolves into Ivysaur starting at level 16, which evolves into Venusaur starting at level 32.
","z.sp.atk",0,0,0,1,0,0
"2",2,2,"Ivysaur","Grass","Poison",405,60,62,63,80,80,60,1,"False","https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pokémon)","Ivysaur (Japanese: フシギソウ Fushigisou) is a dual-type Grass/Poison Pokémon introduced in Generation I.
","It evolves from Bulbasaur starting at level 16 and evolves into Venusaur starting at level 32.
","z.sp.def",0,0,0,0,1,0
"3",3,3,"Venusaur","Grass","Poison",525,80,82,83,100,100,80,1,"False","https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pokémon)","Venusaur (Japanese: フシギバナ Fushigibana) is a dual-type Grass/Poison Pokémon introduced in Generation I.
","It evolves from Ivysaur starting at level 32. It is the final form of Bulbasaur. It can Mega Evolve into Mega Venusaur using the Venusaurite.
","z.sp.def",0,0,0,0,1,0
"4",4,3,"VenusaurMega Venusaur","Grass","Poison",625,80,100,123,122,120,80,1,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.sp.def",0,0,0,0,1,0
"5",5,4,"Charmander","Fire",NA,309,39,52,43,60,50,65,1,"False","https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pokémon)","Charmander (Japanese: ヒトカゲ Hitokage) is a Fire-type Pokémon introduced in Generation I.
","It evolves into Charmeleon starting at level 16, which evolves into Charizard starting at level 36.
","z.spd",0,0,0,0,0,1
"6",6,5,"Charmeleon","Fire",NA,405,58,64,58,80,65,80,1,"False","https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pokémon)","Charmeleon (Japanese: リザード Lizardo) is a Fire-type Pokémon introduced in Generation I.
","It evolves from Charmander starting at level 16 and evolves into Charizard starting at level 36.
","z.spd",0,0,0,0,0,1
"7",7,6,"Charizard","Fire","Flying",534,78,84,78,109,85,100,1,"False","https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pokémon)","Charizard (Japanese: リザードン Lizardon) is a dual-type Fire/Flying Pokémon introduced in Generation I.
","It evolves from Charmeleon starting at level 36. It is the final form of Charmander. It can Mega Evolve into two forms: Mega Charizard X using Charizardite X and Mega Charizard Y using Charizardite Y.
","z.sp.atk",0,0,0,1,0,0
"8",8,6,"CharizardMega Charizard X","Fire","Dragon",634,78,130,111,130,85,100,1,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.sp.atk",0,0,0,1,0,0
"9",9,6,"CharizardMega Charizard Y","Fire","Flying",634,78,104,78,159,115,100,1,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.sp.atk",0,0,0,1,0,0
"10",10,7,"Squirtle","Water",NA,314,44,48,65,50,64,43,1,"False","https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pokémon)","Squirtle (Japanese: ゼニガメ Zenigame) is a Water-type Pokémon introduced in Generation I.
","It evolves into Wartortle starting at level 16, which evolves into Blastoise starting at level 36.
","z.def",0,0,1,0,0,0
"11",11,8,"Wartortle","Water",NA,405,59,63,80,65,80,58,1,"False","https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pokémon)","Wartortle (Japanese: カメール Kameil) is a Water-type Pokémon introduced in Generation I.
","It evolves from Squirtle starting at level 16 and evolves into Blastoise starting at level 36.
","z.sp.def",0,0,0,0,1,0
"12",12,9,"Blastoise","Water",NA,530,79,83,100,85,105,78,1,"False","https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pokémon)","Blastoise (Japanese: カメックス Kamex) is a Water-type Pokémon introduced in Generation I.
","It evolves from Wartortle starting at level 36. It is the final form of Squirtle. It can Mega Evolve into Mega Blastoise using the Blastoisinite.
","z.sp.def",0,0,0,0,1,0
"13",13,9,"BlastoiseMega Blastoise","Water",NA,630,79,103,120,135,115,78,1,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.sp.atk",0,0,0,1,0,0
"14",14,10,"Caterpie","Bug",NA,195,45,30,35,20,20,45,1,"False","https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pokémon)","Caterpie (Japanese: キャタピー  Caterpie) is a Bug-type Pokémon introduced in Generation I.
","It evolves into Metapod starting at level 7, which evolves into Butterfree starting at level 10.
","z.spd",0,0,0,0,0,1
"15",15,11,"Metapod","Bug",NA,205,50,20,55,25,25,30,1,"False","https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pokémon)","Metapod (Japanese: トランセル Transel) is a Bug-type Pokémon introduced in Generation I.
","It evolves from Caterpie starting at level 7 and evolves into Butterfree starting at level 10.
","z.def",0,0,1,0,0,0
"16",16,12,"Butterfree","Bug","Flying",395,60,45,50,90,80,70,1,"False","https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pokémon)","Butterfree (Japanese: バタフリー Butterfree) is a dual-type Bug/Flying Pokémon introduced in Generation I.
","It evolves from Metapod starting at level 10. It is the final form of Caterpie.
","z.sp.atk",0,0,0,1,0,0
"17",17,13,"Weedle","Bug","Poison",195,40,35,30,20,20,50,1,"False","https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pokémon)","Weedle (Japanese: ビードル Beedle) is a dual-type Bug/Poison Pokémon introduced in Generation I.
","It evolves into Kakuna starting at level 7, which evolves into Beedrill starting at level 10.
","z.spd",0,0,0,0,0,1
"18",18,14,"Kakuna","Bug","Poison",205,45,25,50,25,25,35,1,"False","https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pokémon)","Kakuna (Japanese: コクーン Cocoon) is a dual-type Bug/Poison Pokémon introduced in Generation I.
","It evolves from Weedle starting at level 7 and evolves into Beedrill starting at level 10.
","z.def",0,0,1,0,0,0
"19",19,15,"Beedrill","Bug","Poison",395,65,90,40,45,80,75,1,"False","https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pokémon)","Beedrill (Japanese: スピアー Spear) is a dual-type Bug/Poison Pokémon introduced in Generation I.
","It evolves from Kakuna starting at level 10. It is the final form of Weedle. It can Mega Evolve into Mega Beedrill using the Beedrillite.
","z.atk",0,1,0,0,0,0
"20",20,15,"BeedrillMega Beedrill","Bug","Poison",495,65,150,40,15,80,145,1,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.spd",0,0,0,0,0,1
"21",21,16,"Pidgey","Normal","Flying",251,40,45,40,35,35,56,1,"False","https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pokémon)","Pidgey (Japanese: ポッポ Poppo) is a dual-type Normal/Flying Pokémon introduced in Generation I.
","It evolves into Pidgeotto starting at level 18, which evolves into Pidgeot starting at level 36.
","z.spd",0,0,0,0,0,1
"22",22,17,"Pidgeotto","Normal","Flying",349,63,60,55,50,50,71,1,"False","https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pokémon)","Pidgeotto (Japanese: ピジョン Pigeon) is a dual-type Normal/Flying Pokémon introduced in Generation I.
","It evolves from Pidgey starting at level 18 and evolves into Pidgeot starting at level 36.
","z.spd",0,0,0,0,0,1
"23",23,18,"Pidgeot","Normal","Flying",479,83,80,75,70,70,101,1,"False","https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pokémon)","Pidgeot (Japanese: ピジョット Pigeot) is a dual-type Normal/Flying Pokémon introduced in Generation I.
","It evolves from Pidgeotto starting at level 36. It is the final form of Pidgey. It can Mega Evolve into Mega Pidgeot using the Pidgeotite.
","z.spd",0,0,0,0,0,1
"24",24,18,"PidgeotMega Pidgeot","Normal","Flying",579,83,80,80,135,80,121,1,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.sp.atk",0,0,0,1,0,0
"25",25,19,"Rattata","Normal",NA,253,30,56,35,25,35,72,1,"False","https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pokémon)","Rattata (Japanese: コラッタ Koratta) is a Normal-type Pokémon introduced in Generation I.
","It evolves into Raticate starting at level 20.
","z.spd",0,0,0,0,0,1
"26",26,20,"Raticate","Normal",NA,413,55,81,60,50,70,97,1,"False","https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pokémon)","Raticate (Japanese: ラッタ Ratta) is a Normal-type Pokémon introduced in Generation I.
","It evolves from Rattata starting at level 20.
","z.spd",0,0,0,0,0,1
"27",27,21,"Spearow","Normal","Flying",262,40,60,30,31,31,70,1,"False","https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pokémon)","Spearow (Japanese: オニスズメ Onisuzume) is a dual-type Normal/Flying Pokémon introduced in Generation I.
","It evolves into Fearow starting at level 20.
","z.spd",0,0,0,0,0,1
"28",28,22,"Fearow","Normal","Flying",442,65,90,65,61,61,100,1,"False","https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pokémon)","Fearow (Japanese: オニドリル Onidrill) is a dual-type Normal/Flying Pokémon introduced in Generation I.
","It evolves from Spearow starting at level 20.
","z.spd",0,0,0,0,0,1
"29",29,23,"Ekans","Poison",NA,288,35,60,44,40,54,55,1,"False","https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pokémon)","Ekans (Japanese: アーボ Arbo) is a Poison-type Pokémon introduced in Generation I.
","It evolves into Arbok starting at level 22.
","z.spd",0,0,0,0,0,1
